X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
457962,4379407,4384,21564,4384,457962,4379407,663286,5.88203,739.482
457963,4379408,4384,21564,4384,457963,4379408,663317,5.80262,739.36
457964,4379409,4384,21564,4384,457964,4379409,663350,6.46508,739.276
457964,4379410,4384,21564,4384,457964,4379410,663389,10.4049,739.191
457965,4379411,4384,21564,4384,457965,4379411,663393,21.7384,739.195
457966,4379411,4384,21564,4384,457966,4379411,663401,7.35128,739.145
457967,4379411,4384,21564,4384,457967,4379411,663407,6.29953,739.21
457968,4379411,4384,21564,4384,457968,4379411,663420,17.7107,739.148
457969,4379412,4384,21564,4384,457969,4379412,663449,10.9631,739.015
457970,4379413,4384,21564,4384,457970,4379413,663461,11.8904,739.054
457971,4379413,4384,21564,4384,457971,4379413,663469,3.48217,739.085
457972,4379414,4384,21564,4384,457972,4379414,663474,13.5566,739.177
457973,4379414,4384,21564,4384,457973,4379414,664627,5.61883,739.101
457974,4379415,4384,21564,4384,457974,4379415,665306,13.0119,739.043
457975,4379416,4384,21564,4384,457975,4379416,665308,18.4972,739.052
457976,4379416,4384,21564,4384,457976,4379416,665363,2.67954,738.875
457977,4379417,4384,21564,4384,457977,4379417,4,10.324,738.911
457978,4379418,4384,21564,4384,457978,4379418,1,21.945,738.907
457978,4379419,4384,21564,4384,457978,4379419,665393,15.407,738.958
457978,4379420,4384,21564,4384,457978,4379420,665411,8.93404,738.71
457979,4379421,4384,21564,4384,457979,4379421,2,14.5562,738.506
457980,4379422,4384,21564,4384,457980,4379422,3,26.9436,738.792
457980,4379423,4384,21564,4384,457980,4379423,7,20.6471,738.754
457979,4379424,4384,21564,4384,457979,4379424,665441,11.2267,738.82
457980,4379425,4384,21564,4384,457980,4379425,671020,10.5026,738.759
457980,4379426,4384,21564,4384,457980,4379426,671029,1.0261,738.736
457980,4379427,4384,21564,4384,457980,4379427,671037,9.5373,738.731
457981,4379428,4384,21564,4384,457981,4379428,671310,5.60698,738.656
457981,4379429,4384,21564,4384,457981,4379429,671331,7.59426,738.626
457982,4379430,4384,21564,4384,457982,4379430,671344,7.59382,738.656
457983.1797,4379431.345,4384,21564,4384,457983.1797,4379431.345,672059,4.04467,738.653
