X,Y,streamorde,IX,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
447529,4399628,5,34659,447529.00000000000,4399628.00000000000,602723,18.97130000000,645.30400000000
447528,4399627,5,34659,447528.00000000000,4399627.00000000000,603229,8.35696000000,645.11100000000
447527,4399626,5,34659,447527.00000000000,4399626.00000000000,603851,5.90516000000,645.00700000000
447526,4399625,5,34659,447526.00000000000,4399625.00000000000,603877,9.78305000000,644.77700000000
447525,4399625,5,34659,447525.00000000000,4399625.00000000000,603880,9.55351000000,644.71200000000
447524,4399625,5,34659,447524.00000000000,4399625.00000000000,603920,16.71660000000,644.58600000000
447523,4399624,5,34659,447523.00000000000,4399624.00000000000,603922,7.17397000000,644.57300000000
447522,4399624,5,34659,447522.00000000000,4399624.00000000000,604112,20.13640000000,644.30500000000
447521,4399624,5,34659,447521.00000000000,4399624.00000000000,604131,27.83220000000,644.02200000000
447520,4399623,5,34659,447520.00000000000,4399623.00000000000,604575,8.07896000000,643.91600000000
447519,4399622,5,34659,447519.00000000000,4399622.00000000000,604638,6.58473000000,643.85600000000
447518,4399622,5,34659,447518.00000000000,4399622.00000000000,605032,6.47598000000,643.98800000000
447517,4399622,5,34659,447517.00000000000,4399622.00000000000,605034,19.11080000000,643.78300000000
447516,4399622,5,34659,447516.00000000000,4399622.00000000000,605036,24.24050000000,643.30500000000
447515,4399622,5,34659,447515.00000000000,4399622.00000000000,606684,25.15520000000,642.92400000000
447514,4399621,5,34659,447514.00000000000,4399621.00000000000,606700,18.30370000000,642.50500000000
447513,4399621,5,34659,447513.00000000000,4399621.00000000000,607073,15.82100000000,642.19400000000
447512,4399620,5,34659,447512.00000000000,4399620.00000000000,607466,8.75734000000,641.97200000000
447511,4399620,5,34659,447511.00000000000,4399620.00000000000,607537,20.13720000000,641.81600000000
