Data_Point,GPS_Point,Tim,Dat,Chan_width,Chan_depth,Hydo_area,Humidity,Air_T_2m,Water_Temp,Avg_Veloc,Discharge,D_50,D_50_Mobil,d18O,dD,Slope,Aspect_D_1,Elevation,Watershed,Typ,DP_Match,Observed,Round,R2_Retract,WhyNoDPR2,FieldNotes,AirTDevice,WatTDevice,Spring,Connected,Fssubsurf,Hollow_Fra,elderfox_f,Latitude,Longitude,x_utm,y_utm,RivL2_AirT,RivL2_Hum,MeasORivAT,MeasORivHu,FSClass_si,NewFlowAcc,Slope_1m,flowacc_co,slp_deg_co
346,937,11:01,8/19/2014 0:00,5,0.3,0.00015,42.6,25.1,15.4,0,0, ,1,0,0,24.5177002,171.6799927,606.7410278,Elder,Flow source,622,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,24,39.72818616,-123.6167556,447145.5923,,4397771.075,40.26,27.18,1.058122206,0.923473142,0,151,22.8318844
347,938,11:08,8/19/2014 0:00,20,0.2,0.0004,41,25.7,14.4,0,0, ,1,0,0,15.9389,64.0636978,623.4730225,Elder,Flow source,623,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,30,25,0.075,0,0,344,39.7286229,-123.616958,447128.5789,,4397819.666,37.69,27.55,1.087821703,0.932849365,0,172,15.748168
348,939,11:17,8/19/2014 0:00,15,1.1,0.00165,37.5,26.4,15.3,0,0, ,N/A,0,0,9.5392303,175.5829926,639.5460205,Elder,Flow source,624,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,173116,39.72921641,-123.615747,447232.8133,,4397884.823,38.4,27.51,0.9765625,0.959651036,0,174010,11.6439152
349,940,11:40,8/19/2014 0:00,24,0.2,0.00048,37,26.7,16.3,0,0, ,7,0,0,14.0021,239.8179932,669.4169922,Elder,Flow source,625,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,34494,39.7290176,-123.6140631,447376.9621,,4397861.768,35.32,27.4,1.047565119,0.974452555,0,35293,9.6032286
350,941,11:44,8/19/2014 0:00,40,0.2,0.0008,36.8,26.7,13.9,0,0, ,3,-8,-50.4,18.9046001,325.8139954,669.3939819,Elder,Flow source,626,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,5667,39.72897186,-123.6140895,447374.669,,4397856.708,35.59,27.37,1.033998314,0.975520643,0,1021,27.3783836
351,942,12:22,8/19/2014 0:00,15,2.1,0.00315,34.6,26.6,14.6,0,0, ,N/A,-8.09,-51,13.9615002,221.7070007,712.0280151,Elder,In channel,627,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,198627,39.73002413,-123.6125798,447504.8402,,4397972.61,32.31,27.67,1.07087589,0.96132996,0,198571,11.0368128
352,943,12:59,8/19/2014 0:00,27,0.2,0.00054,35,26.8,14.5,0,0, ,1,0,0,33.0161018,266.6149902,791.2109985,Elder,Flow source,0,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,65,60,0.39,1,0,12,39.73100474,-123.611195,447624.2534,,4398080.634,30.32,28.62,1.154353562,0.936408106,0,26,46.6176376
353,944,13:09,8/19/2014 0:00,13,0.2,0.00026,32.3,27.3,16.1,0,0, ,N/A,0,0,31.3265991,196.4170074,797.2449951,Elder,Flow source,629,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,116571,39.73111414,-123.6111502,447628.1749,,4398092.75,29.81,28.38,1.083529017,0.961945032,0,117539,25.6193047
354,945,13:21,8/19/2014 0:00,8,0.2,0.00016,29.2,28.1,12.5,0,0, ,6,0,0,32.8866997,287.4419861,830.6810303,Elder,Flow source,631,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,30,60,0.18,0,0,6192,39.73128035,-123.6104399,447689.17,,4398110.782,30.89,28.51,0.945289738,0.985619081,0,5068,35.9310989
355,946,13:40,8/19/2014 0:00,13,0.6,0.00078,33,27.4,13.8,0,0, ,N/A,0,0,28.2656994,247.753006,894.677002,Elder,Flow source,633,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,80,25,0.2,0,0,140,39.7316716,-123.6093611,447781.9126,,4398153.576,30.62,27.8,1.077726976,0.985611511,0,10,25.4186592
356,947,14:49,8/19/2014 0:00,7,1.3,0.00091,30.7,26.6,13.2,0,0, ,N/A,-8.27,-52.3,30.1422997,215.0160065,896.5369873,Elder,Flow source,634,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,23157,39.73018573,-123.6064521,448030.0804,,4397986.975,36.31,27.37,0.845497108,0.971867008,0,17206,31.1394119
357,948,14:50,8/19/2014 0:00,50,0.5,0.0025,30.7,26.5,12.5,0,0, ,2,0,0,30.2446995,238.1040039,895.7730103,Elder,Flow source,0,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,50,90,0.45,1,0,368,39.73015746,-123.6064421,448030.9192,,4397983.831,35.22,26.66,0.871663827,0.9939985,0,851,33.7825203
358,949,15:13,8/19/2014 0:00,15,0.4,0.0006,33.6,27,12,0,0, ,2,-8.48,-52.6,29.0412006,173.9720001,837.5770264,Elder,Flow source,635,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,100,30,0.3,0,0,231,39.72911218,-123.6066447,448012.7745,,4397867.936,36.3,26.22,0.925619835,1.029748284,0,195,34.5587578
359,950,16:41,8/19/2014 0:00,24,0.1,0.00024,31.7,29,14.7,0,0, ,3,0,0,29.3192997,253.3670044,684.5009766,Elder,Flow source,638,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,40,50,0.2,0,0,48901,39.72667247,-123.6093083,447782.6653,,4397598.711,42.49,25.17,0.746057896,1.152165276,0,47347,21.0185032
360,951,17:57,8/19/2014 0:00,12,0.1,0.00012,38.7,25.8,14.4,0,0, ,N/A,0,0,23.9969006,240.6589966,597.2890015,Elder,Flow source,639,yes,2, ,Not enough water for a sample,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,8855,39.72578372,-123.615144,447281.8703,,4397503.487,54.08,22.26,0.715606509,1.15902965,0,9533,19.1822643
361,952,10:58,8/20/2014 0:00,32,0.4,0.00128,56.5,23,12.7,0,0, ,2,-8.03,-51.1,31.2847004,300.4150085,580.4799805,Elder,Flow source,642,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,80,120,0.96,0,0,200,39.72517781,-123.6358886,445503.5564,,4397448.645,53.42,23.33,1.057656308,0.985855122,0,271,23.7990513
362,953,11:24,8/20/2014 0:00,9,1.1,0.00099,52.9,23.1,12.1,0,0, ,<1,-7.96,-48.7,17.0771999,47.1627998,582.1079712,Elder,Flow source,643,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,20,60,0.12,0,0,27740,39.72483811,-123.6340172,445663.6751,,4397409.807,47.64,24.14,1.110411419,0.956917978,0,34342,13.1395044
363,954,11:48,8/20/2014 0:00,32,0.8,0.00256,48.3,25.8,15.3,0,0, ,N/A,-7.87,-48.3,16.5851994,58.0542984,522.8619995,Elder,In channel,644,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,108937,39.72537893,-123.6318945,445846.015,,4397468.546,44.76,24.71,1.079088472,1.044111696,0,112821,14.1434193
364,955,12:29,8/20/2014 0:00,33,1.2,0.00396,48.7,25.2,15.9,0,0, ,N/A,0,0,14.2927999,16.7117996,578.59198,Elder,In channel,645,yes,2, ,Sunny upstream,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,32958,39.72428228,-123.6330653,445744.8157,,4397347.542,40.94,25.82,1.189545677,0.975987607,0,29451,15.3933706
365,956,12:48,8/20/2014 0:00,65,0.2,0.0013,46.4,24.7,12.7,0,0, ,1,0,0,33.1464996,58.2338982,603.6680298,Elder,Flow source,646,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,606,39.72363847,-123.6334474,445711.569,,4397276.318,38.27,26.57,1.212437941,0.929619872,0,647,40.5930595
366,957,13:00,8/20/2014 0:00,150,0.2,0.003,46.7,26,12.8,0,0, ,5,0,0,33.8130989,79.0432968,608.6309814,Elder,Flow source,647,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,45,25,0.1125,0,0,110,39.72348868,-123.633509,445706.1721,,4397259.731,43,26.66,1.086046512,0.975243811,0,1006,31.2661972
367,958,13:13,8/20/2014 0:00,25,0.5,0.00125,43.7,25.2,11,0,0, ,9,0,0,28.0216007,57.0494003,621.4050293,Elder,Flow source,648,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,4304,39.72333989,-123.6336738,445691.9335,,4397243.317,46.17,25.64,0.946502058,0.982839314,0,895,32.8632431
368,959,13:24,8/20/2014 0:00,10,1.3,0.0013,45.7,25.5,11.9,0,0, ,2,-7.75,-48.5,18.4827995,17.8647995,619.3699951,Elder,Flow source,649,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,7119,39.72319092,-123.6335327,445703.9035,,4397226.699,49.01,24.49,0.932462763,1.041241323,0,6593,26.9911308
369,960,14:00,8/20/2014 0:00,24,1,0.0024,43.7,27.5,11,0,0, ,2,-7.83,-48.3,22.5645008,37.1722984,609.473999,Elder,Flow source,650,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,130,110,1.43,0,0,1331,39.72314117,-123.6324904,445793.198,,4397220.546,50.19,24.02,0.870691373,1.144879267,0,1086,22.3386364
370,961,14:29,8/20/2014 0:00,45,0.6,0.0027,49.9,24.8,12.1,0,0, ,4,0,0,22.9328003,38.5499001,605.5889893,Elder,Flow source,651,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,24916,39.72311621,-123.6321668,445820.9127,,4397217.581,49.08,24.36,1.016707416,1.018062397,0,1007,15.5290403
371,962,14:55,8/20/2014 0:00,28,0.9,0.00252,47.5,25.6,15.5,0,0, ,N/A,-7.86,-47.8,12.5130997,10.3395996,498.8460083,Elder,In channel,653,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,459275,39.72382563,-123.6295695,446044.0596,,4397294.75,49.45,24.16,0.960566229,1.059602649,0,459017,9.5215607
372,963,16:00,8/20/2014 0:00,38,0.2,0.00076,45,26.4,13.2,0,0, ,<1,0,0,24.7952003,63.0988007,641.8220215,Elder,Flow source,667,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,22,8,0.0176,0,0,1702,39.71919275,-123.6311773,445902.6491,,4396781.533,52.22,23.17,0.861738797,1.139404402,0,8478,20.1318569
373,964,16:18,8/20/2014 0:00,11,1.1,0.00121,50.1,24.5,12.6,0,0, ,N/A,0,0,27.1623993,49.4514008,619.9509888,Elder,In channel,0,yes,2, ,coming out of the ground- cold,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,86059,39.71970746,-123.6324882,445790.6932,,4396839.45,52.77,23.15,0.94940307,1.058315335,0,85909,23.0496349
374,965,16:39,8/20/2014 0:00,20,0.5,0.001,56.2,23.7,12.5,0,0, ,1,0,0,18.0210991,126.1490021,648.5469971,Elder,Flow source,668,yes,2, ,root supporting above,Amprobe #2,CaterTemp Plus 221-055,yes,80,50,0.4,0,0,16020,39.71944211,-123.6336008,445695.1299,,4396810.673,52.02,23.45,1.08035371,1.010660981,0,19058,17.5118427
375,966,18:36,8/20/2014 0:00,20,0.1,0.0002,61.7,22.2,15.3,0,0, ,7,0,0,24.0519009,207.3399963,448.1359863,Elder,Flow source,807,yes,2, ,Not enough water for a sample,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,1,388,39.72506211,-123.6251241,446426.0038,,4397429.315,61.83,20.85,0.997897461,1.064748201,0,7970,18.1090145
376,967,18:53,8/20/2014 0:00,15,0.3,0.00045,62.3,21.4,13.8,0,0, ,2,0,0,34.3835983,15.7889004,461.5339966,Elder,Flow source,808,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,47211,39.72438578,-123.6247381,446458.5648,,4397354.022,64.5,20.01,0.965891473,1.069465267,0,47950,32.0934944
377,968,10:13,8/21/2014 0:00,75,2.7,0.02025,69.4,20.1,14.6,0,0, ,N/A,0,0,8.35853,16.1532993,460.6109924,Elder,In channel,671,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,542606,39.72325046,-123.6221001,446683.7775,,4397226.445,54.3,23.8,1.278084715,0.844537815,0,537488,13.0054665
378,969,10:54,8/21/2014 0:00,61,3.9,0.02379,70.8,20.4,14.7,0,0, ,N/A,0,0,22.2334003,7.28861,538.7449951,Elder,In channel,672,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,452730,39.72132165,-123.6242077,446501.657,,4397013.63,49.64,25.15,1.426269138,0.811133201,0,448249,21.6039753
379,970,11:19,8/21/2014 0:00,48,4,0.0192,62.7,22.1,14.1,0,0, ,N/A,0,0,12.3137999,291.3680115,587.7800293,Elder,In channel,673,yes,2, ,Water upstream is 14.3 degrees C,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,382967,39.71966961,-123.6247774,446451.547,,4396830.616,48.11,25.38,1.303263355,0.870764381,0,377998,18.9582367
380,971,11:39,8/21/2014 0:00,73,0.4,0.00292,62.4,23.3,12,0,0, ,9,0,0,27.2963009,32.7402,615.3449707,Elder,Flow source,674,yes,2, ,Lower high water point than last round,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,1,13809,39.71925049,-123.6250741,446425.795,,4396784.276,48.17,25.55,1.295412082,0.911937378,0,13708,26.8014164
381,972,12:15,8/21/2014 0:00,60,2.9,0.0174,59.3,23.5,14.6,0,0, ,N/A,0,0,6.3705902,346.0580139,683.7659912,Elder,In channel,675,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,177722,39.71685281,-123.6244125,446480.6492,,4396517.772,44.99,26.29,1.318070682,0.893875998,0,163718,23.163496
382,973,12:43,8/21/2014 0:00,31,0.3,0.00093,55.5,24.6,11.4,0,0, ,3,-8.02,-50,25.1674995,76.2313995,691.6749878,Elder,Flow source,676,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,12579,39.71671431,-123.6246775,446457.8278,,4396502.559,44.96,26.08,1.234430605,0.943251534,0,155,26.1023827
383,974,12:50,8/21/2014 0:00,57,0.5,0.00285,55,24.6,11.5,0,0, ,11,0,0,20.2040005,94.4501038,698.4110107,Elder,Flow source,677,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,1,661,39.71640713,-123.6247823,446448.6046,,4396468.529,43.13,26.35,1.275214468,0.933586338,0,671,24.198904
384,975,13:09,8/21/2014 0:00,30,0.4,0.0012,52.1,25.4,11.6,0,0, ,3,0,0,16.9846992,320.5660095,706.6519775,Elder,Flow source,678,yes,2, ,root supporting above,Amprobe #2,CaterTemp Plus 221-055,yes,150,120,1.8,0,1,1615,39.71584654,-123.6246508,446459.444,,4396406.233,39.82,26.66,1.308387745,0.952738185,0,274,42.0011597
385,976,13:32,8/21/2014 0:00,22,0.6,0.00132,51,24.5,10.9,0,0, ,5,0,0,34.2647018,280.3359985,753.4550171,Elder,Flow source,679,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,40,120,0.48,0,1,8152,39.71387691,-123.6245438,446467.0951,,4396187.567,35.69,27.13,1.428971701,0.903059344,0,8318,29.6538639
386,977,14:34,8/21/2014 0:00,14,0.9,0.00126,46.5,25.7,10.6,0,0, ,3,0,0,5.3223901,310.9530029,774.3850098,Elder,Flow source,680,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,37141,39.71294737,-123.6247351,446449.9737,,4396084.516,44.85,25.4,1.036789298,1.011811024,0,34133,11.5238199
387,978,15:21,8/21/2014 0:00,22,0.8,0.00176,41.4,26.3,11.8,0,0, ,9,0,0,19.6520996,289.3980103,607.6279907,Elder,Flow source,681,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,139,39.72020117,-123.6214152,446740.1287,,4396887.609,38.2,25.64,1.083769634,1.02574103,0,8550,12.0195799
388,979,15:54,8/21/2014 0:00,30,0.9,0.0027,44.9,26.2,11.8,0,0, ,11,0,0,33.1608009,339.1929932,580.6040039,Elder,Flow source,792,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,17287,39.72109981,-123.6191535,446934.6592,,4396986.005,32.58,26.39,1.378146102,0.992800303,0,17014,31.928957
389,980,16:18,8/21/2014 0:00,46,0.1,0.00046,45.2,25.4,12.8,0,0, ,bedrock,0,0,34.6543999,343.3869934,543.7000122,Elder,Flow source,0,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,1,0,2,39.72189684,-123.6202059,446845.0761,,4397075.087,27.48,26.66,1.644832606,0.952738185,0,2691,28.4297523
390,981,16:43,8/21/2014 0:00,20,0.4,0.0008,44,25.1,12,0,0, ,3,0,0,38.9581985,338.1390076,509.6499939,Elder,Flow source,0,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,1,1,14,39.72246851,-123.6202534,446841.4459,,4397138.563,16.63,26.89,2.645820806,0.933432503,0,40,44.0904045
391,982,16:55,8/21/2014 0:00,65,2.5,0.01625,48.4,24.4,13.8,0,0, ,N/A,0,0,26.2134991,3.0302601,494.0249939,Elder,In channel,683,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,125925,39.72270154,-123.6203203,446835.8869,,4397164.465,17.98,26.82,2.691879867,0.909768829,0,137913,22.9057541
392,983,17:52,8/21/2014 0:00,95,2.6,0.0247,50.5,21.8,14,0,0, ,N/A,-7.97,-49.5,18.4295998,72.6576996,489.8380127,Elder,In channel,798,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,87003,39.72061575,-123.6140406,447372.5086,,4396929.266,16.7,26.18,3.023952096,0.832696715,0,84546,21.871048
393,984,18:12,8/21/2014 0:00,40,1.6,0.0064,38.9,22.9,11.7,0,0, ,N/A,0,0,26.1487007,60.8194008,563.9160156,Elder,In channel,795,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,71781,39.71917591,-123.6154368,447251.7475,,4396770.284,20.58,25.07,1.890184645,0.913442361,0,71361,17.0077324
394,985,18:49,8/21/2014 0:00,30,0.8,0.0024,37.4,21.6,11.8,0,0, ,N/A,0,0,18.7441006,342.302002,657.5159912,Elder,Flow source,796,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,24220,39.71701913,-123.6170234,447114.1102,,4396531.847,29.41,22.3,1.271676301,0.968609865,0,24552,8.782752
395,986,19:17,8/21/2014 0:00,75,0.4,0.003,37.4,21.3,11.2,0,0, ,8,-7.95,-50,26.1425991,23.0874996,560.2210083,Elder,Flow source,794,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,1,291,39.71974567,-123.6160326,447201.1134,,4396833.871,31.94,20.95,1.170945523,1.016706444,0,392,39.7087593
396,987,20:04,8/21/2014 0:00,52,2.5,0.013,39.5,20.2,15.3,0,0, ,N/A,-8.04,-49.4,17.6315994,344.4960022,480.7749939,Elder,In channel,799,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,129674,39.72224192,-123.6160223,447203.8975,,4397110.914,37.73,18.76,1.046912271,1.076759062,0,131477,21.0211086
397,988,10:39,8/22/2014 0:00,140,7.1,0.0994,64.5,18.6,14.4,22.64,0.02250416, ,N/A,0,0,6.6363802,319.4259949,495.6130066,Elder,In channel,797,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,1983660,39.72002662,-123.6119407,447552.0374,,4396862.651,48.01,22.86,1.34347011,0.813648294,0,1979258,5.7141609
398,989,11:08,8/22/2014 0:00,130,6.1,0.0793,64.9,20.8,14.6,0,0, ,N/A,-7.94,-49.8,4.5378399,263.7510071,506.3819885,Elder,In channel,686,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,1900150,39.71856279,-123.6120685,447539.9696,,4396700.261,47.03,23.8,1.379970232,0.87394958,0,1896669,14.4812489
399,990,11:31,8/22/2014 0:00,74,4.1,0.03034,54.5,21.3,13.9,0,0, ,N/A,0,0,25.0611992,189.5509949,535.9790039,Elder,In channel,687,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,1743150,39.71567837,-123.6123464,447513.9658,,4396380.293,45.1,24.14,1.208425721,0.882352941,0,1737376,6.0121069
400,991,12:08,8/22/2014 0:00,110,4.7,0.0517,47.7,23.4,15.2,0,0, ,N/A,0,0,5.81423,345.3710022,568.7520142,Elder,In channel,688,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,1419260,39.71405002,-123.6127968,447474.1287,,4396199.833,44.69,24.47,1.067352875,0.956272987,0,1418627,9.8502712
401,992,12:38,8/22/2014 0:00,6,0.5,0.0003,47.8,23.4,14.6,0,0, ,N/A,0,0,23.7999992,292.4609985,611.9420166,Elder,Flow source,0,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,1,1,31285,39.71212658,-123.6118505,447553.7824,,4395985.805,45.74,24.6,1.045037167,0.951219512,0,32569,34.106636
402,993,12:52,8/22/2014 0:00,10,1.4,0.0014,48.4,24.1,14.1,0,0, ,8,-8.13,-49.8,31.0904007,258.2600098,599.8469849,Elder,Flow source,709,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes, ,0,0,0,0,1620,39.71199666,-123.6122269,447521.4222,,4395971.605,46.32,24.67,1.044905009,0.976895014,0,1934,35.0101929
403,994,13:16,8/22/2014 0:00,30,0.3,0.0009,45.8,25.3,13.2,0,0, ,6,0,0,35.4445992,281.473999,607.7620239,Elder,Flow source,689,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,10,30,0.03,0,1,582,39.71135569,-123.6123223,447512.7561,,4395900.523,46.65,24.7,0.981779207,1.024291498,0,1153,31.5065365
404,995,13:30,8/22/2014 0:00,94,4.8,0.04512,46.8,24,14.5,5.04,0.002274048, ,N/A,0,0,15.7223997,33.7818985,615.5570068,Elder,In channel,690,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,363000,39.71051863,-123.6126122,447487.2733,,4395807.791,45.47,25.04,1.029250055,0.958466454,0,900857,20.5655651
405,996,14:09,8/22/2014 0:00,60,0.6,0.0036,52.3,23.2,10.9,0,0, ,5,-8.13,-49.8,27.3400993,7.6094699,727.4459839,Elder,Flow source,692,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,2352,39.70876635,-123.6145261,447321.8801,,4395614.435,43.91,25.03,1.191072649,0.926887735,0,1498,21.4915524
406,997,14:39,8/22/2014 0:00,100,1.4,0.014,46.9,24.3,13,0,0, ,N/A,0,0,9.5430899,93.7039032,690.0419922,Elder,In channel,693,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055, , ,0,0,0,0,302975,39.70954714,-123.6155495,447234.7485,,4395701.693,44.35,25,1.057497182,0.972,0,305045,3.8709881
407,998,15:01,8/22/2014 0:00,32,0.3,0.00096,52.4,22.7,12.4,0,0, ,4,-8.09,-49.8,33.1679001,81.1840973,722.1160278,Elder,Flow source,694,yes,2, , ,Amprobe #2,CaterTemp Plus 221-055,yes,>300,120,3.6,0,1,711,39.70949837,-123.6164572,447156.8994,,4395696.815,44.65,25.03,1.173572228,0.906911706,0,385,47.2316093
408,999,15:25,8/22/2014 0:00,20,0.1,0.0002,50.4,22.9,11.6,0,0, ,3,0,0,33.6871986,134.7960052,764.8309937,Elder,Flow source,696,yes,2, ,root supporting above,Amprobe #2,CaterTemp Plus 221-055,yes,100,120,1.2,0,1,22,39.70955984,-123.6173679,447078.882,,4395704.174,45.06,24.69,1.118508655,0.927501013,0,988,39.8979225
554,37,nodata,12/30/1899 0:00:00,0,0,0,0,0,0,0,0, , ,0,0,15.0068998,35.7663994,709.9110107,Elder,Flow source,37,no,2, , , , , , ,0,0,0,0,2188,39.71573797,-123.6246904,446455.9663,,4396394.207,0,0,0,0,0,3261,16.6110249
555,38, ,12/30/1899 0:00:00,0,0,0,0,0,0,0,0, , ,0,0,27.4972,32.2521019,569.867981,Elder,Flow source,793,no,2, , , , , , ,0,0,0,0,21256,39.71958584,-123.6162465,447182.6559,,4396816.258,0,0,0,0,0,22545,19.9114342
556,39, ,12/30/1899 0:00:00,0,0,0,0,0,0,0,0, , ,0,0,24.6952,45.2946014,782.0560303,Elder,Flow source,813,no,2, , , , , , ,0,0,0,0,1181,39.71523357,-123.5950536,448995.8718,,4396320.947,0,0,0,0,0,1128,21.1915417
557,40, ,12/30/1899 0:00:00,0,0,0,0,0,0,0,0, , ,0,0,21.1100006,171.8000031,395.9339905,Elder,In channel,0,no,2, ,Elder Guaging station, , , , ,0,0,0,0,16801800,39.73046905,-123.6418141,444999.9339,,4398039.519,0,0,0,0,0,16791456,10.8967752
558,41,nodata,12/30/1899 0:00:00,0,0,0,0,0,0,0,0, , ,0,0,34.987717,9.372381,452.17923,Elder,Flow source,41,no,2, , , , , , ,0,0,0,0,10669,39.729069,-123.641478,445027.6171,,4397883.965,0,0,0,0,0,1417,26.0641956
559,42,nodata,12/30/1899 0:00:00,0,0,0,0,0,0,0,0, , ,0,0,0,0,0, , ,0, ,0, , , , , , ,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,106609,14.7066917
