Flow_acc ACRR,Typ ACRR,Data_Point ACRR,Flow_acc SRS,Typ SR,Data_Point SR
431,Flowhead,201,,,201
1554250,In channel,202,,,202
72832,Flowhead,203,,,203
24363,Flowhead,204,,,204
91960,Flowhead,205,,,205
1008950,In channel,206,,,206
21,Flowhead,207,,,207
755684,In channel,208,,,208
1446,Flowhead,209,,,209
142587,Flowhead,210,,,210
35589,In channel,211,,,211
1,Flowhead,212,,,212
369,Flowhead,213,,,213
8214,Flowhead,214,,,214
488,Flowhead,215,,,215
3162,Flowhead,216,,,216
51168,Flowhead,217,,,217
392912,Flowhead,218,,,218
55214,Flowhead,219,,,219
566172,In channel,220,,,220
4325,Flowhead,221,,,221
655227,In channel,222,,,222
5786,Flowhead,223,,,223
1148490,In channel,224,,,224
909421,In channel,225,,,225
765,Flowhead,226,,,226
4399,Flowhead,227,,,227
10271,Flowhead,228,,,228
433,Flowhead,229,,,229
564771,In channel,230,,,230
24974,Flowhead,231,,,231
288,Flowhead,232,,,232
12689,Flowhead,233,,,233
159088,Flowhead,234,,,234
123,Flowhead,235,,,235
1055,Flowhead,236,,,236
1448,Flowhead,237,,,237
93560,Flowhead,238,,,238
175,Flowhead,239,,,239
19519,Flowhead,240,,,240
276,Flowhead,241,,,241
968699,In channel,242,,,242
1698800,In channel,243,,,243
22894,Flowhead,244,,,244
830,Flowhead,245,,,245
153959,In channel,246,,,246
103664,In channel,247,,,247
17021,Flowhead,248,,,248
279276,In channel,249,,,249
221,Flowhead,250,,,250
219,Flowhead,251,,,251
5854,Flowhead,252,,,252
3247,Flowhead,253,,,253
124681,Flowhead,254,,,254
626,Flowhead,255,,,255
24080,Flowhead,256,,,256
2891,Flowhead,257,,,257
358,Flowhead,258,,,258
231,Flowhead,259,,,259
276097,In channel,260,,,260
112,Flowhead,261,,,261
468,Flowhead,262,,,262
14082300,In channel,263,,,263
13086300,In channel,264,,,264
12013600,In channel,265,,,265
10026900,In channel,266,,,266
47,Flowhead,267,,,267
3581750,In channel,268,,,268
